Id,Altitude,Azimuthal_angle,Incline,H_dist_Hydro,V_dist_Hydro,H_dist_Road,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,H_dist_Fire,Wilderness_Area_A,Wilderness_Area_B,Wilderness_Area_C,Wilderness_Area_D,Soil,label
23,618,863,363,228,294,490,578,842,802,191,0,0,1,0,Soil_Type_39,-1
24,371,341,182,21,216,87,944,909,472,821,1,0,0,0,Soil_Type_1,-1
25,398,44,454,64,237,136,704,645,421,239,1,0,0,0,Soil_Type_1,-1
26,731,774,272,576,475,544,665,944,822,318,0,0,1,0,Soil_Type_31,-1
27,539,61,197,144,278,286,834,834,531,423,0,0,1,0,Soil_Type_33,1
28,488,92,257,144,253,158,842,783,456,85,0,0,1,0,Soil_Type_33,-1
29,573,966,288,122,272,202,716,810,633,310,1,0,0,0,Soil_Type_1,-1
30,600,796,242,86,258,406,688,932,794,368,1,0,0,0,Soil_Type_23,-1
31,316,325,197,339,540,127,948,897,448,110,0,0,0,1,Soil_Type_2,1
32,376,300,121,21,218,156,916,912,511,64,1,0,0,0,Soil_Type_9,-1
33,443,486,272,240,244,329,893,971,566,319,0,0,1,0,Soil_Type_4,1
34,758,211,61,360,270,185,885,912,562,337,0,0,1,0,Soil_Type_32,-1
35,203,105,91,122,305,221,865,893,562,49,0,0,0,1,Soil_Type_10,-1
36,576,0,136,21,227,480,814,877,606,268,1,0,0,0,Soil_Type_1,-1
37,761,172,257,471,351,335,912,794,382,298,1,0,0,0,Soil_Type_40,-1
38,376,291,212,455,239,107,956,873,413,164,0,0,1,0,Soil_Type_11,1
39,698,838,167,300,318,80,747,924,728,25,0,1,0,0,Soil_Type_24,-1
40,815,730,227,231,278,202,712,968,798,261,0,1,0,0,Soil_Type_40,-1
41,682,289,121,384,268,686,920,905,507,337,1,0,0,0,Soil_Type_22,-1
42,547,325,106,21,212,654,912,920,531,333,1,0,0,0,Soil_Type_23,-1
43,633,774,106,21,230,200,787,948,712,99,0,0,1,0,Soil_Type_21,-1
44,450,172,121,21,230,158,893,877,511,123,0,0,1,0,Soil_Type_31,-1
45,505,31,197,136,194,57,810,838,562,73,0,0,1,0,Soil_Type_31,-1
46,746,253,242,279,386,258,956,834,366,421,1,0,0,0,Soil_Type_39,-1
47,468,613,136,154,327,71,822,979,692,296,0,0,1,0,Soil_Type_10,1
48,667,191,197,375,574,257,916,842,433,399,0,0,1,0,Soil_Type_33,-1
49,539,919,91,413,347,438,810,916,649,494,1,0,0,0,Soil_Type_12,-1
50,630,247,167,144,205,265,932,873,452,319,1,0,0,0,Soil_Type_1,-1
51,273,86,212,21,231,132,850,822,496,180,0,0,1,0,Soil_Type_10,-1
52,652,219,15,0,223,356,865,928,598,402,0,0,1,0,Soil_Type_23,-1
53,662,319,212,77,235,632,960,885,421,283,1,0,0,0,Soil_Type_23,-1
54,846,233,439,219,288,365,968,696,153,536,1,0,0,0,Soil_Type_40,-1
55,450,755,409,107,289,324,555,928,905,97,0,0,1,0,Soil_Type_1,-1
56,567,680,348,129,316,381,657,983,850,334,0,0,1,0,Soil_Type_33,-1
57,534,871,212,48,237,673,712,897,735,309,1,0,0,0,Soil_Type_1,-1
58,486,180,454,343,483,117,912,653,177,107,0,0,1,0,Soil_Type_33,1
59,606,685,182,152,289,173,763,979,755,378,0,0,1,0,Soil_Type_33,-1
60,574,297,136,61,239,395,924,905,496,266,0,0,1,0,Soil_Type_33,1
61,658,386,151,258,308,420,928,932,515,457,1,0,0,0,Soil_Type_1,-1
62,691,991,76,144,262,158,834,909,614,351,0,0,1,0,Soil_Type_32,-1
63,700,8,197,512,274,481,794,846,586,587,1,0,0,0,Soil_Type_23,-1
64,333,61,227,183,323,164,826,818,515,141,0,0,1,0,Soil_Type_10,1
65,109,341,500,224,241,53,995,763,153,114,0,0,0,1,Soil_Type_3,1
66,451,31,121,21,223,454,834,881,590,434,1,0,0,0,Soil_Type_23,-1
67,357,39,288,177,333,278,787,783,515,102,0,0,1,0,Soil_Type_10,-1
68,501,17,227,64,228,401,787,822,566,385,1,0,0,0,Soil_Type_1,-1
69,500,766,500,43,266,743,452,889,944,663,1,0,0,0,Soil_Type_24,-1
70,630,278,212,61,244,577,956,861,401,411,1,0,0,0,Soil_Type_1,-1
71,565,42,76,343,312,236,846,901,590,84,0,0,1,0,Soil_Type_31,-1
72,563,150,242,43,240,287,897,802,413,376,0,0,1,0,Soil_Type_23,-1
73,443,169,182,150,249,182,905,842,452,284,1,0,0,0,Soil_Type_12,-1
74,541,128,288,184,316,267,873,763,389,422,0,0,1,0,Soil_Type_32,-1
75,742,766,182,375,228,481,743,952,759,221,1,0,0,0,Soil_Type_39,1
76,754,244,242,339,329,271,952,838,378,243,1,0,0,0,Soil_Type_38,-1
77,584,833,212,125,310,403,712,920,759,39,0,0,1,0,Soil_Type_33,-1
78,624,916,530,236,367,64,468,692,720,287,1,0,0,0,Soil_Type_1,-1
79,491,264,288,192,157,47,971,818,319,254,1,0,0,0,Soil_Type_1,-1
80,379,683,136,0,223,57,798,971,716,193,0,0,1,0,Soil_Type_23,-1
81,332,500,288,107,190,191,881,975,586,191,0,0,1,0,Soil_Type_4,1
82,551,389,61,279,398,698,885,936,582,704,1,0,0,0,Soil_Type_12,1
83,396,144,182,0,223,194,889,846,476,212,0,0,1,0,Soil_Type_11,-1
84,594,649,121,258,182,832,810,975,700,386,1,0,0,0,Soil_Type_1,1
85,599,574,45,375,254,222,853,952,633,373,1,0,0,0,Soil_Type_1,1
86,595,31,272,346,469,192,779,787,535,486,0,0,1,0,Soil_Type_24,-1
87,734,289,182,228,306,147,944,885,448,179,0,0,1,0,Soil_Type_39,-1
88,419,125,15,343,200,146,861,928,606,227,1,0,0,0,Soil_Type_12,-1
89,721,547,333,259,392,315,818,991,661,163,0,0,1,0,Soil_Type_33,-1
90,347,125,0,48,234,66,857,932,614,780,1,0,0,0,Soil_Type_1,-1
91,270,236,257,43,259,121,952,818,350,66,0,0,0,1,Soil_Type_6,1
92,533,882,394,215,241,402,558,806,779,50,0,0,1,0,Soil_Type_33,-1
93,303,72,151,221,294,60,846,857,543,153,0,0,0,1,Soil_Type_10,-1
94,477,83,121,232,256,150,857,877,551,184,0,0,1,0,Soil_Type_11,-1
95,529,78,242,30,235,343,834,802,488,249,0,0,1,0,Soil_Type_33,-1
96,334,411,363,61,225,160,956,905,401,204,0,0,1,0,Soil_Type_3,-1
97,503,500,167,68,239,404,881,971,606,346,1,0,0,0,Soil_Type_1,-1
98,537,194,91,107,218,253,893,897,531,21,0,0,1,0,Soil_Type_32,-1
99,665,0,136,173,346,690,818,881,606,262,1,0,0,0,Soil_Type_1,-1
100,606,907,500,195,320,61,488,724,747,293,1,0,0,0,Soil_Type_1,-1
101,511,849,91,109,240,440,798,932,680,543,1,0,0,0,Soil_Type_1,-1
102,592,874,197,211,223,52,728,901,724,63,0,1,0,0,Soil_Type_22,-1
103,617,932,257,136,278,36,712,850,676,155,1,0,0,0,Soil_Type_22,-1
104,772,375,61,319,297,253,889,936,578,318,0,0,1,0,Soil_Type_32,-1
105,401,361,121,183,181,176,920,928,527,67,1,0,0,0,Soil_Type_23,-1
106,469,419,182,43,217,473,928,944,519,847,1,0,0,0,Soil_Type_12,-1
107,539,899,363,280,453,72,606,814,743,171,0,0,1,0,Soil_Type_33,-1
108,706,838,106,493,221,317,787,932,696,111,0,0,1,0,Soil_Type_32,-1
109,273,980,288,30,230,84,720,794,606,175,0,0,1,0,Soil_Type_10,-1
110,552,555,167,193,337,403,850,983,657,335,1,0,0,0,Soil_Type_1,-1
111,482,719,288,292,389,132,673,971,838,260,0,0,1,0,Soil_Type_4,-1
112,519,286,121,125,279,402,916,905,511,312,1,0,0,0,Soil_Type_1,-1
113,570,877,212,86,248,173,716,893,728,261,0,0,1,0,Soil_Type_31,-1
114,193,58,409,0,223,76,747,673,413,73,0,0,0,1,Soil_Type_10,1
115,519,36,136,109,240,223,830,869,574,385,0,0,1,0,Soil_Type_11,-1
116,762,527,212,494,452,256,861,983,633,192,0,0,1,0,Soil_Type_38,-1
117,651,777,197,386,379,140,720,948,779,175,0,0,1,0,Soil_Type_32,-1
118,498,619,197,215,333,142,798,991,720,251,0,0,1,0,Soil_Type_1,-1
119,635,572,182,107,258,319,834,987,676,110,0,0,1,0,Soil_Type_32,-1
120,691,874,257,232,356,356,680,881,747,34,0,0,1,0,Soil_Type_33,-1
121,601,819,121,125,258,321,779,936,708,271,0,0,1,0,Soil_Type_32,-1
122,679,541,272,325,354,383,842,991,653,432,0,0,1,0,Soil_Type_33,-1
123,404,572,424,137,234,204,747,987,712,163,0,0,1,0,Soil_Type_3,1
124,343,180,167,154,321,141,905,857,468,139,0,0,0,1,Soil_Type_6,1
125,412,383,424,48,261,307,979,850,295,362,1,0,0,0,Soil_Type_1,-1
126,601,394,257,289,301,209,952,920,452,95,0,0,1,0,Soil_Type_1,-1
127,249,17,318,242,418,155,747,767,539,4,0,0,0,1,Soil_Type_10,1
128,380,255,136,48,234,27,920,893,488,69,0,0,1,0,Soil_Type_11,-1
129,446,228,197,228,222,138,932,857,429,344,1,0,0,0,Soil_Type_1,-1
130,668,422,61,130,243,356,881,940,594,144,1,0,0,0,Soil_Type_23,-1
131,348,461,136,30,221,203,897,956,582,152,0,0,1,0,Soil_Type_1,1
132,688,794,288,279,383,160,641,928,830,285,1,0,0,0,Soil_Type_1,-1
133,691,619,167,43,223,329,810,983,708,413,1,0,0,0,Soil_Type_1,-1
134,552,924,227,0,223,333,724,865,684,236,0,0,1,0,Soil_Type_33,-1
135,463,153,424,172,370,38,885,669,240,243,1,0,0,0,Soil_Type_1,-1
136,297,902,227,107,248,36,716,877,708,159,0,0,0,1,Soil_Type_10,-1
137,285,144,121,0,223,77,885,877,519,237,0,0,0,1,Soil_Type_6,1
138,127,991,318,21,232,61,720,779,586,50,0,0,0,1,Soil_Type_10,-1
139,497,352,348,107,297,661,987,853,319,662,1,0,0,0,Soil_Type_1,-1
140,646,924,136,202,181,176,787,901,661,123,0,1,0,0,Soil_Type_24,-1
141,523,985,333,202,267,386,704,767,590,134,0,0,1,0,Soil_Type_33,-1
142,667,186,272,231,287,206,924,791,358,669,0,1,0,0,Soil_Type_22,-1
143,382,777,363,107,330,234,578,920,877,211,0,0,1,0,Soil_Type_1,-1
144,561,319,61,380,334,776,893,928,566,603,1,0,0,0,Soil_Type_1,1
145,710,300,257,231,314,42,968,861,378,68,0,1,0,0,Soil_Type_24,-1
146,512,913,212,0,223,379,732,877,692,175,0,0,1,0,Soil_Type_33,-1
147,666,949,45,86,230,194,838,924,625,89,0,1,0,0,Soil_Type_32,-1
148,456,67,272,77,314,280,814,783,484,113,0,0,1,0,Soil_Type_33,-1
149,671,827,106,416,294,376,787,936,696,21,0,0,1,0,Soil_Type_23,-1
150,581,611,167,30,236,345,814,987,704,216,0,0,1,0,Soil_Type_23,-1
151,685,372,303,310,419,53,971,893,389,399,0,1,0,0,Soil_Type_25,-1
152,201,86,227,0,223,147,846,814,492,133,0,0,0,1,Soil_Type_6,-1
153,541,189,45,30,222,771,873,920,582,293,1,0,0,0,Soil_Type_23,-1
154,673,469,288,352,387,45,909,960,543,452,0,1,0,0,Soil_Type_25,-1
155,581,97,121,136,241,145,861,877,547,341,1,0,0,0,Soil_Type_1,-1
156,480,172,136,0,223,177,897,869,496,322,0,0,1,0,Soil_Type_20,-1
157,642,155,167,129,279,345,893,857,484,240,1,0,0,0,Soil_Type_1,-1
158,800,791,242,631,560,687,680,936,806,422,0,0,1,0,Soil_Type_39,-1
159,796,6,182,412,490,157,798,850,594,214,0,1,0,0,Soil_Type_40,-1
160,535,50,151,412,221,663,838,865,562,434,1,0,0,0,Soil_Type_23,-1
161,505,985,45,0,223,449,846,920,617,376,1,0,0,0,Soil_Type_23,-1
162,662,996,272,280,350,445,751,802,586,227,0,0,1,0,Soil_Type_31,-1
163,538,72,136,68,240,470,850,865,551,361,1,0,0,0,Soil_Type_1,-1
164,632,125,121,192,274,265,873,877,535,231,1,0,0,0,Soil_Type_1,-1
165,384,635,242,232,347,110,767,995,755,195,0,0,1,0,Soil_Type_2,1
166,496,386,151,212,305,215,928,932,515,201,0,0,1,0,Soil_Type_11,-1
167,678,599,227,280,391,466,798,995,720,122,0,0,1,0,Soil_Type_33,-1
168,565,44,182,136,232,235,822,842,551,199,0,0,1,0,Soil_Type_31,-1
169,240,924,106,30,236,49,806,912,653,195,0,0,0,1,Soil_Type_10,1
170,636,241,61,250,283,518,889,916,558,166,1,0,0,0,Soil_Type_1,-1
171,541,555,136,236,250,279,853,975,653,269,0,0,1,0,Soil_Type_32,-1
172,717,386,76,604,503,116,897,936,566,312,0,0,1,0,Soil_Type_32,-1
173,626,39,182,68,245,577,822,850,562,253,1,0,0,0,Soil_Type_23,-1
174,374,974,151,368,183,101,798,881,625,111,0,0,1,0,Soil_Type_11,1
175,727,866,106,307,265,494,794,924,680,202,1,0,0,0,Soil_Type_39,-1
176,685,896,257,501,257,202,684,865,728,205,0,0,1,0,Soil_Type_33,1
177,362,14,121,61,228,135,826,881,598,34,1,0,0,0,Soil_Type_1,-1
178,649,180,318,275,293,139,924,763,323,344,0,0,1,0,Soil_Type_31,-1
179,199,835,454,156,378,165,492,838,865,111,0,0,0,1,Soil_Type_10,-1
180,529,319,288,192,338,239,979,857,350,230,0,0,1,0,Soil_Type_1,-1
181,540,103,106,173,236,691,865,881,551,295,1,0,0,0,Soil_Type_1,-1
182,567,266,272,43,249,222,968,834,350,262,0,0,1,0,Soil_Type_32,-1
183,611,724,45,240,271,451,834,948,653,189,0,0,1,0,Soil_Type_32,-1
184,638,261,45,0,223,648,881,920,570,272,1,0,0,0,Soil_Type_19,-1
185,882,0,136,198,334,247,818,881,606,254,0,1,0,0,Soil_Type_40,-1
186,654,910,61,43,227,79,822,920,645,180,0,1,0,0,Soil_Type_23,-1
187,754,272,212,258,310,330,952,861,405,296,0,0,1,0,Soil_Type_32,-1
188,256,844,167,328,481,211,751,924,724,95,0,0,0,1,Soil_Type_6,1
189,735,239,288,122,281,246,960,806,326,261,1,0,0,0,Soil_Type_39,-1
190,702,280,227,602,413,316,960,857,389,341,0,0,1,0,Soil_Type_33,-1
191,635,874,30,287,372,69,842,932,633,133,0,0,1,0,Soil_Type_32,-1
192,556,511,242,451,302,400,873,979,610,298,0,0,1,0,Soil_Type_26,-1
193,424,497,348,86,278,281,873,968,562,329,0,0,1,0,Soil_Type_4,1
194,653,833,121,325,247,376,783,932,700,36,0,0,1,0,Soil_Type_32,-1
195,373,927,197,228,403,75,743,873,676,58,0,0,1,0,Soil_Type_2,1
196,719,322,151,86,261,468,936,905,480,95,0,0,1,0,Soil_Type_38,-1
197,710,544,242,319,413,413,846,991,653,128,0,0,1,0,Soil_Type_33,-1
198,442,427,106,349,293,321,901,948,570,818,1,0,0,0,Soil_Type_12,-1
199,706,89,182,43,213,611,853,838,507,494,0,0,1,0,Soil_Type_22,-1
200,510,305,288,61,240,415,979,846,338,298,1,0,0,0,Soil_Type_1,-1
201,91,907,500,43,279,15,480,716,743,66,0,0,0,1,Soil_Type_10,1
202,491,186,91,21,222,252,893,897,531,353,1,0,0,0,Soil_Type_1,-1
203,621,921,197,152,234,42,747,881,680,266,0,1,0,0,Soil_Type_22,-1
204,511,128,212,391,387,206,881,822,456,118,0,0,1,0,Soil_Type_28,-1
205,611,475,167,144,245,350,897,964,586,490,1,0,0,0,Soil_Type_23,-1
206,820,991,151,416,511,185,802,869,610,255,0,1,0,0,Soil_Type_40,-1
207,544,280,348,242,161,72,987,798,267,280,1,0,0,0,Soil_Type_1,-1
208,232,963,91,61,232,219,818,905,629,80,0,0,0,1,Soil_Type_10,-1
209,484,139,167,298,318,176,885,846,484,134,0,0,1,0,Soil_Type_28,-1
210,703,3,151,221,330,379,810,873,602,346,0,0,1,0,Soil_Type_24,-1
211,417,450,91,130,243,298,889,952,586,245,0,0,1,0,Soil_Type_32,1
212,243,147,439,61,275,169,873,645,224,174,0,0,0,1,Soil_Type_10,-1
213,310,111,121,136,271,25,869,877,539,249,0,0,0,1,Soil_Type_6,1
214,712,253,227,173,288,281,952,846,389,198,1,0,0,0,Soil_Type_39,-1
215,509,441,257,21,227,476,928,948,507,275,1,0,0,0,Soil_Type_12,-1
216,265,771,363,21,236,110,586,928,877,214,0,0,0,1,Soil_Type_10,-1
217,766,549,45,289,278,274,857,952,629,338,0,0,1,0,Soil_Type_32,-1
218,779,455,272,299,302,400,916,956,523,239,0,0,1,0,Soil_Type_32,-1
219,699,28,348,328,378,155,747,739,507,727,0,1,0,0,Soil_Type_24,-1
220,423,780,106,0,223,304,787,948,708,97,0,0,1,0,Soil_Type_23,-1
221,568,366,91,365,475,629,909,932,547,88,1,0,0,0,Soil_Type_1,-1
222,342,522,106,122,227,89,869,964,625,136,1,0,0,0,Soil_Type_9,-1
223,545,985,182,183,267,209,791,861,614,104,0,0,1,0,Soil_Type_31,-1
224,415,538,30,0,223,257,861,944,621,547,1,0,0,0,Soil_Type_23,-1
225,516,147,242,193,274,68,893,802,417,245,0,0,1,0,Soil_Type_32,-1
226,740,905,76,258,359,237,814,920,653,414,1,0,0,0,Soil_Type_1,-1
227,737,364,333,548,205,191,979,873,354,381,1,0,0,0,Soil_Type_39,1
228,483,153,318,319,391,136,897,751,346,53,0,0,1,0,Soil_Type_24,-1
229,554,685,394,107,283,372,621,979,873,340,0,0,1,0,Soil_Type_33,-1
230,772,649,394,307,414,478,661,991,834,101,1,0,0,0,Soil_Type_39,-1
231,528,169,167,107,256,221,901,857,476,169,0,0,1,0,Soil_Type_31,-1
232,469,142,182,204,254,273,889,842,472,401,1,0,0,0,Soil_Type_12,1
233,375,278,182,43,223,155,944,877,437,67,1,0,0,0,Soil_Type_22,-1
234,693,383,409,536,342,167,979,857,311,349,1,0,0,0,Soil_Type_1,-1
235,100,17,409,257,225,101,692,700,507,113,0,0,0,1,Soil_Type_10,-1
236,589,996,303,558,441,355,728,779,574,272,0,0,1,0,Soil_Type_24,-1
237,205,19,484,86,318,168,653,633,464,92,0,0,0,1,Soil_Type_10,1
238,484,966,378,43,250,360,645,747,617,248,1,0,0,0,Soil_Type_1,-1
239,540,300,227,125,289,531,964,869,393,358,1,0,0,0,Soil_Type_1,-1
240,569,236,318,279,457,271,964,783,291,414,0,0,1,0,Soil_Type_32,-1
241,561,108,45,416,355,196,865,912,586,322,0,0,1,0,Soil_Type_32,1
242,595,963,151,395,324,786,791,881,637,531,1,0,0,0,Soil_Type_1,-1
243,678,810,197,451,311,366,724,932,759,37,0,0,1,0,Soil_Type_32,-1
244,765,888,227,322,319,230,712,885,720,285,0,0,1,0,Soil_Type_32,1
245,566,61,136,122,212,627,842,865,555,343,1,0,0,0,Soil_Type_1,-1
246,712,494,378,107,256,163,873,964,551,146,1,0,0,0,Soil_Type_22,1
247,634,683,45,96,245,57,838,948,653,293,1,0,0,0,Soil_Type_23,-1
248,658,300,167,572,440,329,940,893,460,407,0,0,1,0,Soil_Type_33,-1
249,559,669,30,236,257,597,842,948,645,745,1,0,0,0,Soil_Type_12,-1
250,506,919,484,91,306,122,507,716,716,172,0,0,1,0,Soil_Type_33,-1
251,626,763,348,163,240,658,594,936,877,434,1,0,0,0,Soil_Type_22,-1
252,387,455,409,43,257,267,916,924,448,384,0,0,1,0,Soil_Type_4,1
253,544,874,45,61,235,292,834,932,641,283,1,0,0,0,Soil_Type_1,-1
254,555,25,303,107,259,76,763,771,531,177,0,0,1,0,Soil_Type_24,-1
255,484,916,227,107,261,358,720,865,692,160,0,0,1,0,Soil_Type_31,-1
256,338,372,197,64,207,194,948,916,468,194,0,0,1,0,Soil_Type_4,1
257,82,882,515,144,351,36,448,739,798,71,0,0,0,1,Soil_Type_10,1
258,477,519,91,152,225,338,869,960,621,331,1,0,0,0,Soil_Type_12,-1
259,602,844,136,21,228,368,771,928,704,258,0,0,1,0,Soil_Type_20,-1
260,513,92,121,21,228,136,861,877,551,302,0,0,1,0,Soil_Type_24,-1
261,669,905,182,369,292,837,747,889,692,155,1,0,0,0,Soil_Type_1,-1
262,547,194,167,556,449,157,912,857,460,338,0,0,1,0,Soil_Type_11,-1
263,578,230,167,91,234,275,928,865,448,190,1,0,0,0,Soil_Type_1,-1
264,714,130,257,107,231,257,881,791,421,376,1,0,0,0,Soil_Type_39,-1
265,346,78,272,21,232,225,826,775,460,628,1,0,0,0,Soil_Type_1,-1
266,373,61,288,328,307,80,806,775,484,362,1,0,0,0,Soil_Type_1,-1
267,568,261,227,0,223,684,952,853,397,406,1,0,0,0,Soil_Type_1,-1
268,708,289,182,623,430,329,944,885,448,333,0,0,1,0,Soil_Type_33,-1
269,663,358,257,43,217,447,964,897,417,130,0,0,1,0,Soil_Type_33,-1
270,584,419,91,198,234,202,897,944,574,179,0,0,1,0,Soil_Type_32,1
271,276,749,303,43,259,75,641,952,850,58,0,0,0,1,Soil_Type_10,-1
272,435,660,288,21,234,331,720,995,798,56,0,0,1,0,Soil_Type_1,1
273,603,855,121,61,235,512,775,924,700,88,1,0,0,0,Soil_Type_19,-1
274,560,425,409,129,278,475,944,901,393,159,0,0,1,0,Soil_Type_1,-1
275,612,255,182,531,512,284,936,873,441,409,0,0,1,0,Soil_Type_31,-1
276,747,869,182,89,253,476,735,905,720,292,0,0,1,0,Soil_Type_32,-1
277,719,269,288,343,243,278,971,826,334,335,1,0,0,0,Soil_Type_38,-1
278,614,971,61,289,292,382,834,916,621,204,0,0,1,0,Soil_Type_32,-1
279,584,125,91,240,212,504,873,893,555,381,1,0,0,0,Soil_Type_23,-1
280,355,205,318,198,288,49,944,771,307,335,1,0,0,0,Soil_Type_1,-1
281,271,327,242,328,329,80,968,881,405,166,0,0,0,1,Soil_Type_3,1
282,580,427,91,64,213,354,893,948,578,170,0,0,1,0,Soil_Type_23,-1
283,627,97,121,0,223,154,861,877,547,301,1,0,0,0,Soil_Type_1,-1
284,448,297,272,30,235,130,971,853,358,201,0,0,1,0,Soil_Type_23,-1
285,802,22,197,303,373,572,802,838,570,461,0,0,1,0,Soil_Type_40,-1
286,313,574,484,89,308,212,716,979,716,92,0,0,1,0,Soil_Type_4,1
287,581,280,121,182,250,240,916,905,507,243,1,0,0,0,Soil_Type_22,1
288,648,633,197,334,346,836,791,991,732,252,1,0,0,0,Soil_Type_1,-1
289,512,92,121,21,227,310,861,873,547,376,0,0,1,0,Soil_Type_26,-1
290,633,241,61,228,210,631,889,916,558,243,1,0,0,0,Soil_Type_22,-1
291,501,389,121,43,221,320,916,936,539,343,0,0,1,0,Soil_Type_26,-1
292,551,14,136,375,316,597,822,877,598,785,1,0,0,0,Soil_Type_12,-1
293,333,486,454,245,403,49,869,940,507,139,0,0,1,0,Soil_Type_4,1
294,343,996,318,77,239,75,720,767,574,275,1,0,0,0,Soil_Type_1,-1
295,619,75,61,150,240,203,857,905,586,206,0,1,0,0,Soil_Type_23,-1
296,426,980,121,163,257,238,810,889,621,503,1,0,0,0,Soil_Type_12,-1
297,463,191,318,107,391,23,932,755,303,184,1,0,0,0,Soil_Type_1,-1
298,551,796,288,183,316,403,641,924,830,304,1,0,0,0,Soil_Type_1,-1
299,751,225,91,21,218,626,897,905,535,583,0,0,1,0,Soil_Type_23,1
300,567,319,303,91,254,325,983,850,334,97,1,0,0,0,Soil_Type_1,-1
301,538,466,212,30,236,731,909,964,558,451,1,0,0,0,Soil_Type_23,-1
302,202,42,545,116,356,106,653,566,370,78,0,0,0,1,Soil_Type_10,1
303,202,69,560,236,191,90,688,531,279,59,0,0,0,1,Soil_Type_10,1
304,610,780,182,446,435,455,735,948,763,285,0,0,1,0,Soil_Type_31,-1
305,546,730,182,305,290,772,743,968,771,619,1,0,0,0,Soil_Type_1,1
306,582,494,91,195,210,368,877,960,610,200,0,0,1,0,Soil_Type_23,-1
307,550,985,151,686,472,356,798,873,617,117,0,0,1,0,Soil_Type_11,-1
308,529,203,272,150,129,84,936,798,350,97,1,0,0,0,Soil_Type_22,-1
309,690,611,182,231,271,441,810,987,712,224,0,0,1,0,Soil_Type_23,-1
310,289,241,136,21,228,56,920,885,484,184,0,0,0,1,Soil_Type_6,-1
311,554,261,363,287,405,170,979,771,240,68,1,0,0,0,Soil_Type_1,-1
312,426,28,288,77,254,191,771,783,535,269,0,0,1,0,Soil_Type_33,-1
313,373,172,76,198,232,84,881,905,558,873,1,0,0,0,Soil_Type_1,-1
314,586,719,151,48,230,110,775,968,735,146,0,0,1,0,Soil_Type_1,-1
315,828,155,242,594,611,333,901,806,413,222,1,0,0,0,Soil_Type_40,-1
316,612,833,469,245,275,244,476,830,873,465,1,0,0,0,Soil_Type_1,-1
317,540,128,197,212,239,337,881,826,464,326,1,0,0,0,Soil_Type_1,-1
318,548,153,167,109,230,640,893,850,476,309,1,0,0,0,Soil_Type_23,1
319,482,791,136,48,226,324,763,944,732,344,1,0,0,0,Soil_Type_23,-1
320,338,919,136,195,265,6,787,905,665,273,0,0,0,1,Soil_Type_6,1
321,658,19,91,64,227,455,838,897,602,472,1,0,0,0,Soil_Type_23,-1
322,690,322,272,122,241,285,975,865,374,12,0,0,1,0,Soil_Type_35,1
323,470,588,515,245,190,320,673,975,751,240,0,0,1,0,Soil_Type_1,-1
324,682,652,272,0,223,445,732,995,791,65,0,0,1,0,Soil_Type_32,-1
325,701,92,197,423,484,147,853,830,500,61,1,0,0,0,Soil_Type_22,-1
326,589,89,318,601,580,245,826,743,421,308,0,0,1,0,Soil_Type_33,-1
327,504,708,288,86,252,730,680,975,830,76,1,0,0,0,Soil_Type_1,-1
328,561,67,91,0,223,766,853,893,578,320,1,0,0,0,Soil_Type_23,-1
